ID,Area,Feature / Surface,User Story,Expected Behaviour,Status,Test Result / Notes
US-31,Server/REST,GET /healthz and /version,As an operator I health-check,No-auth status + version.,PASS,"/healthz -> {status:ok}; /version -> {version,api_version:1}."
US-32,Server/REST,GET /v1/capabilities,As a client I discover limits,Returns api/limits/defaults.,PASS,"Returned api_version 1, max_exec_output 1048576, timeouts, defaults."
US-33,Server/Auth,Bearer auth + rate limiting,As an operator unauthorized is rejected,Missing/invalid token -> 401; constant-time; rate limit by prefix.,PASS,"No token -> 401; bad token -> 401. Rate-limit logic in auth.rs (not load-tested)."
US-34,Server/WS,WebSocket session limit,As an operator concurrent WS is bounded,Over max -> 503; counter decremented.,PASS (code),"Logic in main.rs handle_ws_upgrade verified by review; not load-tested (default max 32)."
US-35,Server/Multitenancy,Per-user VM scoping,As a user I only see/affect my own VMs,All queries scoped by user_id; UNIQUE(user_id,name); namespaced storage.,PASS (code+observed),"list/info scoped to caller; storage path uses user_id (seen in FC --api-sock paths). Single user present so cross-tenant isolation verified via code, not 2-user live test."
US-36,Netd,Per-VM TAP + NAT networking,As a user my VM has internet,/30 subnet+TAP+IP+MAC; iptables on startup; graceful degradation.,PASS,"In qatest: getent resolved example.com; curl https -> 200 (TLS/entropy OK)."
US-37,Server/VM,Transactional create with rollback,As a user a failed create leaves no orphans,Roll back DB+storage+TAP on failure.,PASS (code),"backend.rs transactional create reviewed; not fault-injected live."
US-38,Install,install.sh (client),As a user I install via curl,Download binary to ~/.local/bin/noid; PATH guidance.,PASS (review),"Static review only (not re-run; would overwrite installed binary)."
US-39,Install,scripts/install-server.sh,As an admin I provision a host,Deps/FC/kernel/build/network/rootfs/systemd.,PASS (review),"Static review only (destructive provisioning not re-run on live host)."
BUG-A,Client+Core/Exec,exec marker leak / lost exit code,(defect) Command output without trailing newline corrupts exec result,Exec output must never contain internal NOID_EXEC markers and must always report the real exit code.,FIXED & VERIFIED,"Fix: exec wrapper now emits the exit marker via printf with a LEADING newline (extracted to wrap_command()), guaranteeing the marker is on its own line; $? still captures the command's exit. Added 3 regression unit tests. Verified e2e on a rebuilt isolated server: no leaks, exit codes correct. crates/noid-core/src/exec.rs."
BUG-C,Ops/Systemd,noid-server restart kills running VMs,(defect) Operator restarting the server destroys all microVMs,Restarting noid-server should leave running Firecracker VMs alive.,FIXED (live apply pending root),"Fix: scripts/noid-server.service now sets KillMode=process so only the main server proc is signaled, leaving FC VM children alive. Mechanism proven via transient systemd-run test (child survived service stop). NOT applied to the live host (no passwordless sudo here, and a restart could disrupt base1/base2 if applied incorrectly). To apply: copy unit to /etc/systemd/system + 'systemctl daemon-reload' (no restart needed; takes effect next restart)."
BUG-D,Client/Exec,destroy of absent VM reports success,(defect) Misleading 'destroyed' message,Destroying a nonexistent VM should not claim it was destroyed.,OPEN (minor),"Idempotent DELETE returns 204 with no exists/absent signal; client prints 'destroyed'. Low priority; standard REST idempotency. Documented, not fixed."
